Ch1 Amplitude,Ch2 Amplitude,Cluster
241.841644,1598.09973,4
246.417282,1537.06445,4
250.181763,1483.09888,4
251.712692,1557.91736,4
253.696884,1726.24646,4
254.448868,1587.11108,4
255.371155,1685.50415,4
256.296448,1584.039,4
256.4203,1638.12109,4
256.6925,1550.10571,4
257.126678,1598.32166,4
257.55954,1766.06079,4
258.047272,1398.22668,4
261.3571,1572.70227,4
264.068054,1592.73389,4
264.2688,1576.39148,4
267.1369,1573.78174,4
268.4501,1450.6394,4
270.179169,1566.86011,4
270.868073,1436.39587,4
271.050354,1498.957,4
271.833344,1502.11609,4
271.861969,1508.78137,4
272.005768,1511.946,4
272.221375,1691.214,4
272.3813,1465.79163,4
272.779968,1719.985,4
273.174255,1716.56689,4
273.1996,1495.03259,4
273.4923,1515.3219,4
273.516022,1696.28418,4
273.561859,1656.91284,4
274.1314,1764.72217,4
274.217,1579.9989,4
274.5414,516.7848,1
275.0752,1599.96436,4
275.690155,1516.38672,4
276.403351,1166.534,4
276.649841,1461.93872,4
276.693237,1552.09375,4
276.8533,1684.81079,4
277.259338,1466.46313,4
277.31662,494.9478,1
277.5286,1721.539,4
277.871552,1834.19043,4
278.165741,1551.12976,4
278.404846,1474.06384,4
278.482727,1609.91846,4
278.508728,1460.86511,4
278.953461,1503.77771,4
279.4923,1598.33618,4
279.690216,1595.74084,4
279.998566,463.4172,1
280.0024,1692.61646,4
280.0264,1563.50964,4
280.0699,1555.52271,4
280.498535,1581.04993,4
280.535,1546.62683,4
280.6628,1568.33057,4
280.867462,1713.23279,4
280.96106,1665.22729,4
281.194336,1626.81409,4
281.67337,1451.59521,4
281.948639,1559.8053,4
282.1948,1662.80212,4
282.511078,1759.15259,4
282.545044,1506.99329,4
282.645874,1477.40149,4
282.650574,1646.68726,4
282.825317,1594.31079,4
283.35675,1438.27551,4
283.41626,1596.69348,4
283.437561,1437.87427,4
283.454956,1672.30273,4
283.5079,1644.945,4
283.736237,1553.35474,4
283.841644,1512.25146,4
284.090576,1441.32666,4
284.4604,1628.79919,4
284.532928,1668.55164,4
284.553436,1523.37329,4
284.6559,1728.05457,4
284.847137,1627.128,4
284.849335,1595.05762,4
284.857971,1532.75281,4
285.076782,1670.94775,4
285.077423,1547.42957,4
285.3579,1650.245,4
285.617279,1615.16541,4
285.684082,1542.05688,4
285.7783,1556.11536,4
286.0249,512.940552,1
286.527649,1624.0813,4
286.543427,1430.32141,4
286.546478,1485.042,4
286.54895,1466.89221,4
286.6638,1446.78247,4
286.6685,1552.69067,4
287.051941,1440.43616,4
287.101044,1615.89,4
287.290833,1463.2262,4
287.387573,1603.48157,4
287.5437,1467.45813,4
287.620544,1633.3479,4
287.776581,1454.70776,4
287.878967,1495.45581,4
287.965942,1584.23145,4
288.1551,470.581482,1
288.227325,441.3935,1
288.503357,1502.39648,4
288.505676,1590.55957,4
288.730621,1459.4845,4
288.818054,1502.585,4
288.888855,1763.93323,4
289.062683,473.668732,1
289.083649,1553.08411,4
289.124176,1439.59814,4
289.207031,1587.38843,4
289.208221,1439.69849,4
289.360168,1495.22961,4
289.651154,1514.72656,4
289.7882,1457.30371,4
289.846771,1550.79651,4
289.8629,1714.05872,4
289.927155,1492.68823,4
289.9434,1594.708,4
290.0358,1500.915,4
290.1124,1713.305,4
290.173279,1568.39221,4
290.187,488.410065,1
290.252258,1556.29675,4
290.365234,1534.89087,4
290.399719,1559.633,4
290.562378,1676.125,4
290.660736,1439.49487,4
290.766144,489.107056,1
290.824677,1701.57324,4
290.9077,1719.47449,4
291.132355,1508.0636,4
291.196075,1445.14136,4
291.216064,1745.43823,4
291.242828,1572.85376,4
291.463379,536.815735,1
291.5614,1537.38257,4
291.590179,510.0038,1
291.8953,552.79834,1
292.0377,1553.74609,4
292.061462,1794.174,4
292.081177,1552.36621,4
292.095551,1456.6615,4
292.298126,1464.20532,4
292.299561,1560.76746,4
292.329681,1521.2406,4
292.3487,1551.22839,4
292.3846,497.172333,1
292.4237,1514.85815,4
292.461975,1675.637,4
292.611481,1554.22473,4
292.661072,1456.31714,4
292.688263,1743.80273,4
292.746765,1506.74329,4
292.803345,1582.6156,4
292.820526,1612.424,4
292.92038,1749.27966,4
292.954163,1532.11011,4
293.066772,1614.81238,4
293.0769,1520.68469,4
293.109039,1734.69653,4
293.121826,1443.69531,4
293.171478,1405.69861,4
293.512817,1540.40015,4
293.5269,1653.89331,4
293.939484,547.0018,1
293.947876,1516.59888,4
293.979919,1364.61963,4
294.0168,1502.50159,4
294.0546,1475.7052,4
294.258881,1531.55212,4
294.311676,1431.39685,4
294.518524,1509.13574,4
294.5414,1705.42432,4
294.557739,1634.9314,4
294.617523,1478.9043,4
294.7054,1541.82312,4
294.830322,1780.91992,4
294.844849,1654.68982,4
295.0538,1585.19348,4
295.065643,1571.2572,4
295.067535,1663.61584,4
295.0751,1542.49353,4
295.249023,1562.36963,4
295.299316,1629.08521,4
295.373657,1554.06287,4
295.386169,1445.60828,4
295.482178,1796.39124,4
295.6051,1634.05017,4
295.617828,1695.896,4
295.714325,1579.3468,4
295.854919,1529.53711,4
295.954285,1410.78491,4
295.95462,1520.52808,4
296.065155,1498.53186,4
296.172241,1593.89539,4
296.172943,1520.69885,4
296.195343,496.399536,1
296.207855,1531.99353,4
296.238922,1576.79651,4
296.4474,1605.18091,4
296.51886,1657.0979,4
296.563965,1565.3916,4
296.73175,1656.476,4
296.775452,1506.08289,4
296.8212,1552.92651,4
296.9136,1525.87488,4
296.9404,1552.91907,4
297.020477,1490.30823,4
297.0389,1515.92419,4
297.1567,1620.35254,4
297.170135,1768.03662,4
297.2411,405.1557,1
297.301147,1578.38574,4
297.487518,472.130951,1
297.524139,519.554565,1
297.632263,1536.676,4
297.672333,1461.49414,4
297.751831,1543.03674,4
297.912231,1683.01379,4
297.9455,1539.65308,4
298.039764,1562.81152,4
298.211273,1698.87146,4
298.307526,1557.97412,4
298.37854,1457.24219,4
298.419,479.854919,1
298.510529,1416.3988,4
298.5106,1576.29138,4
298.536316,1568.63623,4
298.542664,1758.305,4
298.551971,1432.95825,4
298.871735,1505.67908,4
298.9344,1758.88037,4
299.0391,1447.77844,4
299.112854,1476.61523,4
299.172577,1616.41711,4
299.2558,1699.01318,4
299.293671,1606.317,4
299.363342,1452.1731,4
299.460175,1623.97815,4
299.591675,1533.75134,4
299.5984,1412.92932,4
299.6839,497.722656,1
299.7041,1587.26172,4
299.7423,1506.64417,4
299.7761,412.15506,1
299.8567,1586.70215,4
299.876984,1520.34509,4
299.879944,1527.82678,4
299.932861,1692.33838,4
299.994,1635.34424,4
300.0093,1651.99,4
300.076172,415.651245,1
300.093628,1459.77747,4
300.0978,1572.3175,4
300.161682,1591.84583,4
300.2544,1653.658,4
300.302521,1544.46326,4
300.464233,1604.54846,4
300.469757,1473.93457,4
300.5583,1438.37891,4
300.5704,1458.35669,4
300.587433,1365.61157,4
300.627716,1817.79175,4
300.662048,1748.6532,4
300.691345,508.9467,1
300.700531,1446.2406,4
300.7311,1699.45947,4
300.784882,1552.04175,4
300.8524,1461.54358,4
300.853577,1586.62476,4
300.96936,1616.18481,4
300.977234,1241.45313,4
301.030243,1731.04932,4
301.0895,1529.48352,4
301.128143,1705.98328,4
301.134857,1479.02039,4
301.1776,1586.86267,4
301.217316,1579.96692,4
301.341034,1537.24756,4
301.359253,1555.30029,4
301.408356,1672.36475,4
301.409271,478.388275,1
301.451569,1497.37854,4
301.508026,1571.9259,4
301.534027,1496.67041,4
301.640869,1519.42834,4
301.664948,1689.48022,4
301.690369,1502.86072,4
301.7039,454.333527,1
301.8082,1540.09326,4
301.850952,1538.26782,4
301.852234,1673.35486,4
301.883728,1460.01038,4
301.884064,1477.21912,4
301.898,1720.24634,4
301.9172,1606.86523,4
301.936981,1484.94385,4
301.980774,1654.6709,4
302.007751,1485.28735,4
302.015167,1778.50708,4
302.060547,1647.40149,4
302.099823,1698.57141,4
302.100983,1463.86621,4
302.1238,1607.95825,4
302.216125,1518.24548,4
302.338226,1757.24036,4
302.3618,1695.68713,4
302.4016,1455.8667,4
302.437653,1500.48474,4
302.496368,1651.701,4
302.5343,1608.46643,4
302.546448,1554.436,4
302.549255,1590.78113,4
302.62674,1490.9574,4
302.642883,467.937042,1
302.6508,1780.03259,4
302.7276,1597.80884,4
302.7314,1736.19336,4
302.732849,1420.96387,4
302.7787,443.198547,1
302.781921,1647.34534,4
302.904144,1548.88721,4
302.904572,1348.61755,4
302.987823,1627.32507,4
303.001984,1540.29529,4
303.02948,1721.47522,4
303.082947,447.25766,1
303.204559,1424.79688,4
303.2288,376.184235,1
303.292084,1468.29468,4
303.3153,1549.1825,4
303.3854,1374.9425,4
303.4781,1383.171,4
303.5013,512.8997,1
303.583557,1525.54761,4
303.618317,1652.21741,4
303.6387,1424.94714,4
303.6706,1547.92847,4
303.754974,1742.68555,4
303.755737,1634.0957,4
303.7825,1522.64783,4
303.848969,1613.56433,4
303.889984,448.166748,1
303.924927,1680.12476,4
303.94754,1471.09265,4
303.966461,1520.77368,4
304.053253,512.93866,1
304.0646,1479.946,4
304.131,1539.14941,4
304.2061,1715.52209,4
304.342957,1456.73889,4
304.403839,1475.23083,4
304.472229,1547.16162,4
304.505035,1404.01367,4
304.587433,1426.617,4
304.612976,478.4705,1
304.641,1569.62866,4
304.6847,1563.45825,4
304.7351,1541.978,4
304.746,1701.73865,4
304.776031,1636.64343,4
304.874359,1507.30957,4
304.905945,500.5309,1
304.9125,1706.67639,4
305.031,1416.64233,4
305.039581,1676.5498,4
305.072144,1604.82458,4
305.078369,1514.02478,4
305.130432,1624.84937,4
305.1703,1443.27075,4
305.172821,482.616577,1
305.247955,1544.98486,4
305.283051,1494.22742,4
305.318146,1583.74915,4
305.342316,514.0697,1
305.564758,1533.813,4
305.571075,1601.87207,4
305.59845,1524.35864,4
305.753845,1552.31238,4
305.829376,1600.22791,4
305.883972,1484.94763,4
305.954285,1574.34827,4
306.031036,1452.3009,4
306.047333,1492.17114,4
306.089172,442.5697,1
306.16095,1521.70044,4
306.188416,1543.71765,4
306.2331,1442.53418,4
306.2951,1545.92371,4
306.377655,1501.488,4
306.400757,1566.80261,4
306.4026,1498.54871,4
306.448181,1394.18164,4
306.490753,1486.88867,4
306.5672,1517.6134,4
306.5675,1487.90735,4
306.571747,1788.37854,4
306.61026,1475.34058,4
306.68573,1692.417,4
306.734772,1579.17273,4
306.816742,1528.51648,4
306.834259,1535.97021,4
306.890778,1408.84,4
306.9221,1559.80981,4
307.0156,487.743164,1
307.028564,1480.709,4
307.048553,1479.81067,4
307.073,1668.42761,4
307.081177,1513.37476,4
307.1319,1696.72949,4
307.221344,1497.3667,4
307.244324,1712.7522,4
307.249146,524.470947,1
307.2574,1465.43555,4
307.272339,1430.33252,4
307.292755,1444.52039,4
307.314362,1693.79639,4
307.320679,1547.85046,4
307.36972,1509.89648,4
307.3711,1694.21,4
307.375244,1676.64771,4
307.3918,1627.78162,4
307.402039,1590.50964,4
307.410858,1516.1449,4
307.432037,1571.07544,4
307.443176,1725.72571,4
307.4572,1600.48669,4
307.495636,1643.12537,4
307.552979,1528.33093,4
307.557648,1456.05,4
307.588654,1661.16138,4
307.5912,1807.49268,4
307.5942,419.353119,1
307.6384,1535.65674,4
307.6701,1639.51208,4
307.68985,1544.8009,4
307.690369,511.540253,1
307.7101,1585.67322,4
307.776672,1664.05139,4
307.873352,1570.29248,4
307.9291,456.756531,1
307.93454,1568.747,4
307.9855,1488.45667,4
308.022125,1626.73364,4
308.042816,1524.99011,4
308.1226,1397.51685,4
308.1449,505.519348,1
308.1751,1488.68542,4
308.2142,1497.6615,4
308.244232,1532.78943,4
308.2459,1585.9967,4
308.28418,1534.089,4
308.290527,1471.60962,4
308.2977,1540.29675,4
308.389,1743.79053,4
308.4373,1797.40784,4
308.45755,1540.83765,4
308.56604,436.243042,1
308.6157,1499.95911,4
308.689026,1546.464,4
308.708954,1771.62158,4
308.715668,1498.072,4
308.761627,1565.01221,4
308.7621,1559.2428,4
308.9102,1532.8822,4
308.970917,463.867218,1
308.989349,1498.72119,4
309.048584,1494.14038,4
309.058044,476.2238,1
309.068665,1657.16614,4
309.083374,1473.37219,4
309.085663,1656.75037,4
309.1033,1530.32825,4
309.1342,1747.10486,4
309.1696,481.256866,1
309.20697,1507.87134,4
309.227,1498.8468,4
309.273926,1576.63586,4
309.2925,1631.47034,4
309.321442,1496.12268,4
309.37085,454.457855,1
309.387115,1584.43909,4
309.3975,1495.2854,4
309.406982,1596.3064,4
309.412567,1610.5022,4
309.433167,1666.27527,4
309.523926,448.612823,1
309.552521,1439.67065,4
309.594971,1450.09485,4
309.625732,1534.41113,4
309.6425,1663.3833,4
309.648071,436.6256,1
309.649963,1502.69751,4
309.661652,1611.10107,4
309.668365,1602.08679,4
309.6725,1722.52026,4
309.72287,519.532043,1
309.799957,1569.11975,4
309.8807,482.982269,1
309.923126,1592.37927,4
309.954956,1540.64868,4
309.981079,428.862183,1
310.013519,399.628876,1
310.060028,1592.393,4
310.0969,1560.5105,4
310.1257,435.247925,1
310.132416,1445.682,4
310.134827,1549.47241,4
310.1556,1733.71716,4
310.224152,454.132751,1
310.271118,1453.46655,4
310.298584,1482.533,4
310.2997,1575.46155,4
310.301971,1587.73071,4
310.415558,1448.93286,4
310.4929,1536.42126,4
310.566528,1662.06567,4
310.597382,1518.06,4
310.610229,485.5713,1
310.613373,1577.35156,4
310.6646,1684.581,4
310.6775,451.3732,1
310.710327,481.181274,1
310.729126,1748.05286,4
310.795227,1566.18347,4
310.8029,493.474121,1
310.814819,1277.75293,4
310.844574,1448.23486,4
310.865875,1873.37512,4
310.906158,423.322327,1
310.933746,1613.228,4
310.938049,1442.9978,4
310.950317,388.597565,1
310.95993,1616.74353,4
310.984528,1504.96021,4
311.0198,1563.05212,4
311.033173,1511.12988,4
311.049,1511.0564,4
311.1244,1460.1864,4
311.15155,1474.366,4
311.193756,1604.82385,4
311.201141,1672.03113,4
311.215271,1544.68738,4
311.260834,1545.9043,4
