Ch1 Amplitude,Ch2 Amplitude,Cluster
253.545609,1559.60364,4
258.6563,1605.6842,4
258.793274,1537.94482,4
258.822479,1614.87317,4
263.913483,1737.83569,4
264.310883,1634.177,4
265.559265,1717.87354,4
268.071259,1596.998,4
269.3318,1339.31384,4
269.392761,1542.298,4
270.006622,1603.052,4
270.757263,1564.531,4
271.0696,1660.97339,4
271.2205,1582.5592,4
271.4007,1869.03052,4
271.93396,1463.30566,4
273.464935,1860.984,4
273.895,1666.96143,4
274.259766,1531.62573,4
274.405151,1453.62988,4
274.458252,1669.52954,4
275.356567,1611.399,4
275.4257,1527.10168,4
275.74942,1557.28906,4
275.916962,492.165527,1
275.992645,1617.97144,4
276.254425,1726.102,4
276.659729,529.8194,1
276.708038,1724.95178,4
277.113,1581.41919,4
277.267578,1823.9574,4
277.419159,1648.11768,4
277.958923,1390.22852,4
278.0417,1519.163,4
278.448761,1673.97485,4
278.491119,1634.02612,4
278.6841,1450.63672,4
278.684143,1745.85193,4
278.705322,1652.175,4
278.720062,1655.37463,4
278.774017,1627.62878,4
278.898,1782.53418,4
279.1603,1601.91736,4
279.2138,1540.06079,4
279.223969,1655.35828,4
279.587036,1654.40857,4
279.834839,1670.11877,4
279.993835,1645.79919,4
280.37442,1758.896,4
280.587982,1579.46655,4
280.644318,533.6564,1
280.650177,1484.06335,4
281.16153,1522.3219,4
281.254669,1617.01929,4
281.283142,1465.05554,4
281.304016,1542.24023,4
281.31,1666.5752,4
281.398834,1522.59167,4
281.5328,1702.75537,4
281.5441,1796.1427,4
281.550873,1601.66321,4
281.9515,1489.13867,4
282.033752,1528.06519,4
282.171448,1788.9137,4
282.294617,1561.54773,4
282.3969,1614.1405,4
282.586151,1742.69116,4
282.78653,545.358337,1
282.9001,1573.75073,4
283.494324,1531.763,4
283.91748,1575.45288,4
284.388733,474.506775,1
284.4442,1663.11487,4
284.449646,1636.139,4
284.817139,1661.13379,4
285.042725,1571.31982,4
285.1987,1788.72424,4
285.319458,1675.43677,4
285.629,1602.86316,4
285.640869,1501.685,4
285.744659,1604.88892,4
286.296753,1446.98267,4
286.50116,1512.78259,4
286.697418,1554.097,4
286.737976,1380.02783,4
286.786163,1725.70166,4
286.911621,1514.52734,4
286.941681,1589.9906,4
287.035828,1533.80847,4
287.5767,542.9082,1
287.733215,1572.15063,4
287.866119,1508.59131,4
287.929077,512.178467,1
288.0897,1614.75964,4
288.331482,1583.77527,4
288.5232,1651.99866,4
288.593781,1711.02417,4
289.034058,1741.04639,4
289.147675,1587.69482,4
289.1647,1500.88318,4
289.199066,1469.41943,4
289.225677,1519.6936,4
289.294861,1577.23816,4
289.331,1634.19128,4
289.503,1527.30725,4
289.592163,1570.85986,4
289.844452,528.363953,1
289.8576,1559.377,4
289.925049,1719.90479,4
290.211,1673.00854,4
290.225128,1497.4491,4
290.436981,1483.85974,4
290.557343,1618.032,4
290.999725,1546.1272,4
291.029327,1586.63733,4
291.080353,1743.71619,4
291.2453,1643.33691,4
291.250763,1624.9425,4
291.2686,1512.64624,4
291.335754,1567.79419,4
291.3587,1666.25818,4
291.520721,1484.30383,4
291.660645,1569.96021,4
291.749084,524.2805,1
291.795319,1573.19531,4
291.9801,511.5755,1
291.990845,1704.67834,4
292.0122,1629.288,4
292.068573,1724.55774,4
292.169281,1481.27783,4
292.359283,1522.29333,4
292.5038,1578.39575,4
292.8395,1435.75366,4
292.942261,1477.81116,4
292.985321,1729.59473,4
293.003418,1520.26978,4
293.0406,1463.90259,4
293.133423,1705.3114,4
293.184937,1734.28491,4
293.237335,1444.52344,4
293.3867,395.45993,1
293.47818,1512.81348,4
293.534,1676.63293,4
293.566254,1630.76611,4
293.7268,1736.43811,4
293.839233,1544.42517,4
293.974548,1550.04846,4
293.995148,1523.15967,4
294.032074,1769.10828,4
294.050964,1456.43909,4
294.131073,1561.3606,4
294.159454,1600.795,4
294.3903,1636.81738,4
294.402771,1404.15735,4
294.446472,1648.44421,4
294.548248,569.65686,1
