Ch1 Amplitude,Ch2 Amplitude,Cluster
228.77713,1136.43567,4
241.112671,1348.17334,4
242.79982,1442.52478,4
250.3766,1564.72534,4
253.130539,1493.14258,4
253.909073,1750.5061,4
253.958862,1513.644,4
255.99115,1362.04211,4
257.409149,1397.42542,4
257.7872,1471.81738,4
258.088623,1569.20264,4
258.822662,1509.55359,4
260.2042,1687.623,4
260.835938,1577.55518,4
261.655151,1736.52051,4
261.9419,1642.51526,4
262.049561,1216.3844,4
262.374451,1443.141,4
262.850769,1770.37122,4
262.907684,1551.00757,4
263.244049,1624.60217,4
263.8842,1525.35059,4
264.365173,1677.92236,4
264.438873,1472.518,4
264.5754,1511.7135,4
264.707428,1509.69568,4
264.8468,1408.162,4
265.414978,477.532166,1
265.8368,1653.96033,4
265.8975,1494.08252,4
266.1831,1640.023,4
266.529816,533.1671,1
266.604431,1593.553,4
266.951538,1623.28625,4
266.998169,1429.42651,4
267.287476,1777.22656,4
267.386353,1646.364,4
267.657043,1620.60779,4
268.0301,1638.79492,4
268.254578,1507.10693,4
268.326263,450.788025,1
268.343,1568.305,4
268.788055,1475.91162,4
268.85083,1445.82666,4
269.150848,517.5727,1
270.036652,465.534058,1
270.1761,1533.65454,4
271.090179,1710.908,4
271.502716,1524.55237,4
271.53656,1623.43921,4
271.684967,1564.20435,4
271.907562,1535.01355,4
272.073639,528.707458,1
272.1241,1478.7179,4
272.227936,1465.75891,4
272.357269,1513.7937,4
272.666656,1575.63672,4
272.788727,1508.18359,4
273.054474,1650.61169,4
273.405762,1391.7583,4
273.445648,1385.45422,4
273.7563,1672.82031,4
273.998779,1494.2262,4
274.382843,1735.5437,4
274.632324,1449.45483,4
275.271729,1669.40186,4
275.376617,1704.48218,4
275.49353,1576.26538,4
275.5053,1531.62317,4
275.786682,1507.11377,4
275.939972,1789.069,4
275.943634,1566.21753,4
276.213928,1543.93677,4
276.31073,448.9408,1
276.368164,481.7114,1
276.581,1812.87915,4
276.683441,1304.29346,4
276.702148,1422.52563,4
276.775818,1602.03259,4
276.821716,1461.74316,4
276.829926,1491.97424,4
276.881866,1506.54883,4
277.0991,1429.6864,4
277.1442,1571.38062,4
277.212738,1552.88928,4
277.4109,1595.93665,4
277.450134,1480.381,4
277.5343,1415.345,4
277.5681,1622.0293,4
277.6064,1571.6355,4
277.7162,1481.78491,4
277.772644,1598.592,4
277.80484,1489.14465,4
277.850555,1465.3905,4
277.896027,1500.86243,4
278.235779,1592.16345,4
278.2826,1504.6676,4
278.534668,1574.58777,4
278.571655,485.2459,1
278.585815,1563.922,4
278.6931,1579.98438,4
278.7919,1492.36816,4
278.921631,1364.04834,4
279.212555,1521.44788,4
279.23938,1495.81128,4
279.322632,1573.81787,4
279.333252,1468.68518,4
279.435822,1424.605,4
279.4992,1527.72083,4
279.7198,1576.071,4
279.9249,1641.32739,4
280.485077,1451.72888,4
280.608246,452.779968,1
280.910858,1633.22974,4
281.3201,1469.55994,4
281.3896,1490.99072,4
281.4791,1508.5835,4
281.7697,1407.3031,4
281.7817,1448.62134,4
281.7878,1382.1178,4
281.803436,1391.64563,4
281.8595,1456.72852,4
282.112518,1543.47778,4
282.2745,1452.5896,4
282.310425,1643.55432,4
282.350525,1607.06921,4
282.570221,534.266235,1
282.626282,1509.04016,4
282.6694,1451.16528,4
282.743866,1491.46545,4
282.784973,1505.61023,4
282.871826,1545.066,4
282.878,1697.06812,4
283.0609,1763.05847,4
283.070679,1583.66284,4
283.2571,1514.34253,4
283.3178,1452.05518,4
283.38797,1471.04309,4
283.4461,1437.18225,4
283.5296,1472.2948,4
283.6655,1746.763,4
283.676025,396.5555,1
283.73822,1626.42627,4
283.822266,1551.64575,4
284.1835,1529.86365,4
284.353577,1699.68237,4
284.411224,1289.53247,4
284.455658,1683.335,4
284.531769,1435.51978,4
284.578583,1425.31726,4
284.692535,1383.55737,4
284.777252,1441.67615,4
284.973083,1521.92285,4
284.9789,1735.34583,4
285.0365,1428.06738,4
285.155762,1526.36023,4
285.3065,1584.87524,4
285.3398,1615.17664,4
285.345581,1602.99158,4
285.374817,1499.6416,4
285.404022,1692.98621,4
285.4114,512.492554,1
285.541656,1553.07751,4
285.542969,1706.78027,4
285.573181,1506.63147,4
285.574524,1555.65723,4
285.6118,1475.18958,4
285.644684,469.624969,1
285.657623,1321.12341,4
285.701416,1401.80225,4
285.771027,1534.4176,4
285.793243,1561.724,4
285.834869,1493.61536,4
285.919281,1517.23743,4
286.003754,1557.75854,4
286.0778,1402.59253,4
286.148376,1602.39063,4
286.17215,1530.48254,4
286.3277,1449.30334,4
286.340851,1523.21985,4
286.382874,1508.50476,4
286.6019,1588.66748,4
286.661163,1475.96741,4
286.684967,1322.30139,4
286.7462,1518.67407,4
286.802,1580.50781,4
286.990326,1475.3241,4
287.0948,1550.11426,4
287.1115,1447.74976,4
287.132,1404.40686,4
287.243774,1508.04968,4
287.295959,1600.42627,4
287.34433,1766.01636,4
287.35144,1510.66711,4
287.468719,1564.36182,4
287.683563,1650.25208,4
287.738159,1385.93445,4
287.804962,1673.981,4
287.8979,1477.41113,4
287.987274,1438.24133,4
288.010559,1380.48132,4
288.115,1642.759,4
288.1155,1529.4397,4
288.124359,1492.58533,4
288.2792,1437.65088,4
288.3337,444.6849,1
288.364655,1498.37952,4
288.450745,1490.87317,4
288.5801,1608.99731,4
288.581726,1496.17822,4
288.680145,1570.47949,4
288.685944,1581.68408,4
288.7349,1588.6394,4
288.803741,1421.32556,4
288.9029,1572.41284,4
288.9521,1422.074,4
288.954,1618.57068,4
289.0079,1613.481,4
289.061462,1498.07947,4
289.120453,1439.56128,4
289.2362,1723.8252,4
289.2877,498.931427,1
289.30722,1634.26233,4
289.328461,473.4009,1
289.4068,1702.57251,4
289.409729,1705.90076,4
289.568451,492.5314,1
289.7045,1557.1051,4
289.738251,1484.28528,4
289.761169,1571.20056,4
289.838348,1661.56018,4
289.9496,1397.87329,4
290.1238,1600.22791,4
290.162079,1591.16492,4
290.186829,504.404846,1
290.4186,1517.51025,4
290.5593,1336.51208,4
290.575958,1509.61584,4
290.59317,405.304962,1
290.61554,1373.57153,4
290.629822,537.5491,1
290.682037,1576.17529,4
290.784882,1389.947,4
290.8045,1475.42456,4
290.8069,1722.93872,4
290.872925,1666.26379,4
290.93335,1524.7063,4
290.9511,1586.70056,4
291.0786,1475.03967,4
291.1325,1736.39917,4
291.1524,1555.22852,4
291.241577,1424.36914,4
291.4166,1500.46008,4
