Ch1 Amplitude,Ch2 Amplitude,Cluster
235.867279,1630.50562,4
249.977676,1554.82861,4
250.196579,1615.83008,4
253.17926,1445.97534,4
254.224258,1526.56421,4
255.624161,1708.06982,4
255.959641,1556.71753,4
256.006165,1713.74854,4
258.949341,1869.76758,4
262.218353,1798.652,4
262.613922,1543.71521,4
263.294861,1530.5564,4
263.715881,1490.27356,4
264.244415,1582.36084,4
264.414246,1630.9436,4
265.7676,1443.26257,4
265.969452,1465.86279,4
266.242432,1558.90869,4
266.674255,1658.4552,4
267.083038,1808.10522,4
267.376648,1763.0459,4
268.0175,1532.7478,4
268.1053,1685.36169,4
268.287476,1655.07849,4
268.291,1398.37244,4
269.23056,521.1041,1
269.271027,1519.24207,4
269.384338,1509.804,4
269.7259,1454.72864,4
270.065521,1513.276,4
270.868439,1514.76611,4
271.09317,1523.17163,4
271.208527,1602.96765,4
272.801941,1676.792,4
274.2784,1507.45117,4
274.47644,1568.28979,4
274.82605,1499.25745,4
274.845245,1627.61755,4
274.855225,1533.97864,4
275.778748,1513.96375,4
276.025,1538.82581,4
276.044922,1657.00659,4
276.185028,1648.13757,4
276.420349,1860.385,4
276.572662,1651.19958,4
276.6576,1494.20776,4
276.895874,1828.87549,4
277.087524,1445.73547,4
277.160767,1685.44861,4
277.6566,1687.034,4
277.6826,1523.383,4
277.741028,1493.38293,4
277.932068,1591.7052,4
278.634827,1564.75842,4
278.6706,1521.51892,4
278.701477,1418.60144,4
278.904419,1598.80151,4
278.920929,1487.97388,4
279.244263,1551.976,4
279.3085,1536.61194,4
279.548126,1669.75818,4
279.746521,1656.96948,4
279.76767,1637.92834,4
279.8439,1602.20569,4
279.901733,1618.45,4
279.974731,1589.81812,4
280.076874,1495.93677,4
280.1715,1628.84851,4
280.313538,1544.47742,4
280.471039,1502.47888,4
280.4796,1668.48962,4
280.5782,422.592834,1
280.6082,1535.60168,4
280.669037,1428.53906,4
281.119568,1611.02832,4
281.27005,1583.06946,4
281.378143,482.0197,1
281.483948,1559.48291,4
281.51767,1507.91125,4
281.549072,1600.233,4
281.629578,1511.81958,4
281.6889,1612.6571,4
282.10965,1515.44226,4
282.6274,1493.68433,4
282.674561,1562.598,4
282.7039,444.8179,1
282.760162,1643.74,4
282.779724,1552.83435,4
282.784515,1576.13257,4
282.847168,1682.20459,4
282.8528,1359.08447,4
282.9015,1610.82129,4
282.92038,1810.44446,4
282.972473,1619.78625,4
283.053467,1646.65588,4
283.312439,1316.56384,4
283.448822,1644.37451,4
283.494141,1748.981,4
283.4966,1569.47351,4
283.497284,1824.24353,4
283.649567,1459.911,4
283.722534,1503.31787,4
283.916962,1646.31628,4
283.9233,1482.04529,4
283.930084,1746.13806,4
283.931,1556.10522,4
284.027863,1523.40869,4
284.137665,1623.99084,4
284.7039,1684.63257,4
284.743073,1570.93335,4
284.907959,1507.86963,4
285.026062,1562.07129,4
285.02655,1501.11987,4
285.085266,471.031036,1
285.110352,1443.19385,4
285.152,1483.01819,4
285.205658,1682.03638,4
285.280365,1689.41626,4
285.3931,547.661,1
285.879974,1646.54492,4
285.8885,1552.07239,4
285.992645,1753.73,4
286.001373,1431.053,4
286.056244,1660.48181,4
286.4728,1596.28577,4
286.519745,1641.84143,4
286.5922,1511.23816,4
286.64386,1718.32678,4
286.752167,1711.34607,4
286.753662,1536.50671,4
286.815,1627.27136,4
286.9051,1867.70728,4
286.9063,1652.08545,4
286.932953,504.8445,1
287.2374,1442.507,4
287.308533,1494.24341,4
287.443726,1628.55615,4
287.502655,1824.69873,4
287.641144,1694.77368,4
287.7863,1629.54431,4
287.81662,1715.12854,4
287.8261,1643.73535,4
287.843842,1549.03247,4
287.867981,1590.6156,4
287.8779,481.440125,1
287.912781,1485.44324,4
288.080536,487.451447,1
288.3576,1799.233,4
288.521149,1409.54968,4
288.569031,1681.1355,4
288.831665,502.5143,1
288.874664,1603.37891,4
289.058075,1578.58411,4
289.06842,1471.58191,4
289.113922,1487.67529,4
289.157532,510.4248,1
289.164185,1483.80322,4
289.1923,569.8078,1
289.205383,1506.39868,4
289.2119,1443.59827,4
289.250519,1521.42529,4
289.628326,1557.77637,4
289.7652,1683.9165,4
289.937,1526.59985,4
289.990967,1400.51331,4
290.006866,543.8434,1
290.021973,1583.57666,4
290.042,1512.23315,4
290.2985,1559.38574,4
290.355438,500.918549,1
290.385468,1421.97839,4
290.524536,1516.41272,4
290.529449,1569.39075,4
290.693085,1525.48413,4
290.750427,1547.02014,4
290.863739,1506.885,4
291.021942,1687.18274,4
291.1126,1604.46887,4
291.222229,475.2082,1
291.2696,1606.89441,4
291.279938,1795.94031,4
291.289337,1550.34631,4
291.491058,1533.47546,4
291.597168,1501.49646,4
291.790527,1431.66638,4
291.810181,483.5135,1
291.82666,1683.89746,4
291.843323,1667.03589,4
291.8863,1581.67944,4
291.901031,1593.28,4
292.049561,1446.00391,4
292.459045,1636.00562,4
292.597351,1436.22876,4
292.819061,1592.489,4
292.8224,509.3678,1
292.8412,1621.84668,4
292.9322,1339.342,4
292.9996,470.61554,1
293.026947,1711.13647,4
293.151642,1626.12634,4
293.413361,1628.02417,4
293.463135,1769.07214,4
293.536255,1565.92,4
