Ch1 Amplitude,Ch2 Amplitude,Cluster
236.868988,1637.1178,4
238.161789,1681.157,4
243.8122,1516.837,4
251.1463,1476.27686,4
252.380081,1876.33325,4
252.817657,1511.77185,4
259.3716,1253.2301,4
259.510162,1545.47778,4
261.916779,1535.43921,4
262.610443,1609.04419,4
262.7881,1578.45313,4
263.685059,488.036346,1
264.505066,1638.74854,4
266.3125,1582.799,4
266.654877,1559.53735,4
266.8178,1480.24438,4
267.0867,1569.49219,4
267.1882,1495.1261,4
267.965759,1620.75342,4
268.595459,1477.257,4
268.9234,1587.54578,4
269.696045,1382.3158,4
269.7386,1531.58923,4
269.93985,1451.29626,4
270.1787,1641.351,4
270.885956,1568.66736,4
271.2046,1596.53223,4
271.580658,1576.568,4
272.275879,1520.93433,4
272.657867,1549.80408,4
272.701721,1367.56519,4
272.897583,1467.25818,4
273.56897,1633.17932,4
274.034637,1616.11353,4
274.403137,1536.61865,4
274.4671,1586.94861,4
274.805542,1287.60291,4
274.909424,1597.12939,4
275.476624,1635.582,4
275.8163,1555.78723,4
276.2753,1489.41614,4
276.493835,1583.97388,4
276.5296,1785.86548,4
276.679932,1741.11926,4
276.864746,1663.074,4
276.886932,1634.52747,4
277.9607,1554.13708,4
278.100616,1533.16553,4
278.185577,492.148926,1
278.2627,1524.66028,4
278.3186,1430.642,4
278.34436,1679.13086,4
278.8185,1569.22583,4
278.864838,1452.51282,4
279.0977,1606.56628,4
279.345764,511.5709,1
279.348846,1433.39893,4
279.559967,1536.08191,4
279.627563,1494.20251,4
279.688965,1513.51514,4
279.70755,1519.66541,4
279.7215,1438.541,4
279.9214,1817.04041,4
280.221436,1597.11414,4
280.6797,1342.74084,4
280.8106,1342.86633,4
281.1225,466.846741,1
281.184082,1596.612,4
281.400665,1521.25537,4
281.589233,1483.12109,4
281.6712,1564.71143,4
281.852753,423.7323,1
281.875336,1468.72522,4
281.897949,1531.56531,4
281.9248,1587.06665,4
282.4556,1675.29443,4
282.5005,1673.60168,4
282.610016,1489.79919,4
282.7384,1451.18384,4
283.258759,1715.862,4
283.283569,1573.03687,4
283.2996,1490.30872,4
283.334442,1514.03052,4
283.3774,1508.24817,4
283.504272,1695.75916,4
283.595917,1448.68494,4
283.696442,1694.14624,4
283.713379,1544.46655,4
283.7954,1702.18713,4
283.871,1785.84851,4
284.052673,1573.65625,4
284.263977,1419.44263,4
284.3556,1476.75122,4
284.494354,454.0234,1
284.602264,1490.62927,4
284.632782,456.854462,1
284.9158,1697.98462,4
285.084381,528.0164,1
285.0963,1624.09644,4
285.20163,1491.799,4
285.2478,1504.12769,4
285.345947,1589.6322,4
285.44516,1508.72925,4
285.4632,1704.71277,4
285.947,497.661377,1
286.05954,1581.322,4
286.2912,481.552826,1
286.3764,1483.59375,4
287.2401,1450.63892,4
287.29187,1593.963,4
287.339142,1413.30481,4
287.409515,1722.03125,4
287.508057,1498.65747,4
287.545319,1522.37744,4
287.665039,1507.04944,4
287.823242,1530.096,4
287.841217,1473.51758,4
287.95874,1527.405,4
287.9762,1553.52734,4
288.0436,1485.48608,4
288.04895,1488.38708,4
288.118866,1593.59961,4
288.159241,1531.59534,4
288.286377,1574.22607,4
288.3233,1661.85413,4
288.424866,1428.16577,4
288.564575,1822.67761,4
288.6537,1432.62048,4
288.6694,1551.48132,4
288.730072,1656.64417,4
288.912659,1485.89758,4
288.929382,1502.55762,4
289.0043,1634.82458,4
289.124146,1582.82983,4
289.291046,438.068481,1
289.291962,1247.35449,4
289.32843,1648.70178,4
289.341034,442.5635,1
289.35614,1670.22888,4
289.455841,1633.61914,4
289.51004,1649.80225,4
289.513,1539.51819,4
289.5589,1703.81506,4
289.561279,1558.24414,4
289.615082,1424.16785,4
289.797882,548.0969,1
290.0585,1590.25842,4
290.5897,1698.44214,4
290.658661,1647.75574,4
290.672424,1419.92346,4
290.741364,1530.14587,4
290.936279,1678.27832,4
290.936646,1455.05334,4
290.985,550.8091,1
291.22348,1630.77832,4
291.277069,1532.54163,4
291.298584,1539.22046,4
291.439148,1528.62646,4
291.446045,459.949738,1
291.480957,1690.95654,4
291.486572,1475.74072,4
291.720459,1517.76831,4
291.767426,1516.91174,4
291.8311,1482.697,4
291.8773,1643.55457,4
292.086548,1487.36877,4
