Ch1 Amplitude,Ch2 Amplitude,Cluster
224.072571,376.8431,1
251.703247,1588.56116,1
256.011169,1571.72876,1
262.131,1508.05688,1
264.379547,510.415131,1
265.666229,1443.08484,1
265.706146,1440.46973,1
266.725769,377.3193,1
271.487,1565.67517,1
272.019318,1533.95752,1
272.242554,1468.02051,1
272.246857,1463.41272,1
272.872559,1588.292,1
272.87796,1573.573,1
274.762115,1469.0166,1
275.120544,1518.85962,1
276.192139,479.720734,1
276.415527,1469.956,1
277.987549,1608.52673,1
278.019379,1527.13074,1
278.0437,1573.83228,1
278.7915,1644.20056,1
279.40213,1442.70007,1
279.521667,1507.77429,1
280.142639,1603.4845,1
280.2857,1506.44348,1
280.790649,1513.714,1
281.32135,1618.58008,1
281.682343,1501.8606,1
281.786224,1257.77222,1
282.119354,1489.9978,1
282.743225,1492.988,1
282.910431,1504.55737,1
282.9543,1425.145,1
283.1153,531.012146,1
283.1364,1528.63586,1
283.234741,1504.95984,1
283.439453,1568.76379,1
284.146637,1559.46289,1
284.151245,1504.889,1
284.214661,527.354553,1
284.217529,1566.90076,1
284.4694,473.613525,1
284.4886,1461.58215,1
284.525726,443.610443,1
284.7015,1540.21191,1
284.77536,513.9027,1
284.812134,1506.83228,1
285.001038,477.076874,1
285.620636,1419.63269,1
285.922119,1555.21082,1
286.115082,1548.73645,1
286.1859,432.97345,1
286.213074,1544.28076,1
286.5529,1493.8208,1
286.576,1509.87622,1
286.592957,419.193329,1
286.945526,1562.19739,1
286.991272,1586.81812,1
287.225067,1389.80688,1
287.387543,1534.5127,1
287.834259,393.529266,1
287.966736,1650.78687,1
288.217743,1532.85681,1
288.24646,1493.40723,1
288.3334,1532.01367,1
288.42807,1535.03015,1
288.461456,1297.08655,1
288.546539,1521.82556,1
288.605682,1407.86853,1
288.6092,1566.57434,1
288.730652,1449.37708,1
288.883667,1443.39185,1
288.94162,1493.5614,1
289.023438,1351.61072,1
289.266571,1610.56592,1
289.272461,487.9468,1
289.5832,1454.54773,1
289.597015,523.155334,1
289.833984,1568.39526,1
290.019836,1546.54565,1
290.0311,494.669922,1
290.245636,1537.91406,1
290.312,414.664642,1
290.349548,1636.32483,1
290.558258,1475.26831,1
290.5605,1716.92517,1
290.75116,450.273926,1
291.424164,1486.846,1
291.572968,435.000946,1
291.668518,1444.50378,1
291.679626,494.7068,1
291.712646,474.3907,1
291.727753,1606.97375,1
291.94162,455.9284,1
292.024231,1506.18433,1
292.4226,1673.06616,1
292.5666,1548.44751,1
292.610321,1489.38049,1
292.8103,475.246948,1
292.8511,1467.84045,1
292.934875,1583.59607,1
293.144,1469.46606,1
293.1487,483.005859,1
293.152222,1776.84082,1
293.3521,504.184967,1
293.5048,1454.10376,1
293.513519,1571.51843,1
293.522766,1559.02454,1
293.5639,1483.93921,1
293.7193,1603.76611,1
293.754974,1397.60168,1
293.785126,471.735443,1
293.810516,1441.513,1
293.863953,1523.76025,1
293.9184,462.174042,1
293.940857,437.243744,1
294.086456,1533.4928,1
294.121368,458.258118,1
294.2294,1680.47229,1
294.393219,1469.75464,1
294.42392,1616.55139,1
294.477051,1494.11633,1
294.616455,1491.29065,1
294.6846,1439.28149,1
294.839355,1601.35571,1
294.848328,1611.70154,1
294.9875,441.122833,1
295.184723,481.267059,1
295.235138,1637.64966,1
295.340271,1700.33655,1
295.371979,1544.22937,1
295.372223,464.0287,1
295.4322,462.161438,1
295.451874,1561.78821,1
295.465881,1584.667,1
295.470917,1492.92639,1
295.599182,1539.96069,1
295.716,490.31192,1
295.7951,499.1091,1
295.799438,496.01535,1
295.834045,1557.28064,1
295.9418,450.385071,1
296.016937,1583.4281,1
296.027435,1301.29248,1
296.041321,458.204926,1
296.173157,474.727631,1
296.351227,1731.25,1
296.383972,1500.82239,1
296.454437,440.807953,1
296.484039,1386.50134,1
296.509033,485.0956,1
296.776642,1588.12366,1
296.785675,1559.0647,1
297.118073,565.829468,1
297.244476,1395.9939,1
297.347656,1513.37634,1
297.456848,1422.35217,1
297.5439,1531.00073,1
297.5541,460.2448,1
297.711365,1587.57715,1
297.78894,501.239716,1
297.833344,1538.61243,1
297.8376,1696.61841,1
297.9217,1586.89355,1
297.924133,398.445343,1
298.009155,421.6965,1
298.0279,1472.652,1
298.1768,1552.35669,1
298.235626,474.518066,1
298.309875,500.280273,1
298.339172,1321.54028,1
298.360321,1617.40674,1
298.371338,413.786621,1
298.448242,1555.84753,1
298.53717,1564.24414,1
298.590363,1463.73267,1
298.6208,1482.82556,1
298.774353,1605.12683,1
298.817352,1552.14063,1
298.880157,463.97525,1
298.8863,1496.12939,1
298.948669,1437.37146,1
299.0947,1459.99231,1
299.104828,1590.52771,1
299.122742,505.576965,1
299.230743,1600.746,1
299.317749,453.111328,1
299.3309,533.3506,1
299.350342,480.94754,1
299.377533,1429.44067,1
299.4835,1543.0979,1
299.506042,450.441681,1
299.667572,1776.38745,1
299.669952,431.351959,1
299.901733,1551.76746,1
299.9392,1550.48291,1
299.952667,1480.61414,1
300.042572,1537.306,1
300.129974,1488.78882,1
300.1367,524.5082,1
300.273682,502.9183,1
300.323364,1752.42261,1
300.3833,1438.13782,1
300.492249,1542.822,1
300.493774,1528.11377,1
300.542572,1538.537,1
300.5889,457.698639,1
300.5901,510.30014,1
300.6887,1477.64722,1
300.704071,1464.728,1
300.738617,1420.299,1
300.82196,468.628632,1
300.84668,1640.56873,1
300.859528,434.465576,1
300.9038,1513.04785,1
301.0349,477.259369,1
301.109161,1397.00867,1
301.117462,1484.63489,1
301.284058,453.800537,1
301.301178,1446.24683,1
301.3135,1508.89832,1
301.357,451.823761,1
301.3684,1531.327,1
301.43924,1544.19617,1
301.4799,1499.35474,1
301.500427,1530.20618,1
301.524323,488.45285,1
301.554169,1528.00488,1
301.616852,464.851837,1
301.627838,1558.9303,1
301.665222,465.025055,1
301.845856,1624.846,1
301.907135,1330.22668,1
301.913544,1528.14661,1
301.9916,1365.65588,1
302.072,1430.39685,1
302.099121,446.37616,1
302.174225,1529.255,1
302.316528,1063.88074,1
302.325867,1480.10217,1
302.413971,1408.73438,1
302.467773,1484.50745,1
302.4772,1420.172,1
302.518524,1509.68665,1
302.567566,1432.74036,1
302.633362,1302.6604,1
302.655823,431.148132,1
302.839783,1516.37451,1
302.885437,1451.974,1
302.998047,1456.62939,1
303.024567,1535.32129,1
303.2203,1495.66992,1
303.2339,516.555359,1
303.283722,1485.02368,1
303.459656,1486.24707,1
303.4671,1652.42,1
303.505859,499.166534,1
303.629028,1595.88086,1
303.7017,491.691864,1
303.8507,1484.67883,1
303.87912,1525.59412,1
303.9641,520.2588,1
303.979248,542.3028,1
304.030731,450.0604,1
304.074249,1689.13184,1
304.154572,410.455,1
304.158478,460.411255,1
304.234833,1569.22058,1
304.25827,1783.96423,1
304.2624,430.523834,1
304.270874,444.006622,1
304.3425,1524.36133,1
304.373474,446.860535,1
304.377075,447.4499,1
304.4034,497.077179,1
304.441742,1384.42273,1
304.49057,1476.41321,1
304.500183,1396.304,1
