Ch1 Amplitude,Ch2 Amplitude,Cluster
212.557175,1801.76514,4
236.202042,1626.63586,4
238.18364,1315.59387,4
242.3662,1579.96692,4
243.313766,1547.63733,4
244.550262,1626.91077,4
245.470413,1455.3623,4
247.0357,1578.82068,4
251.461182,1598.29883,4
251.74884,1457.08875,4
251.849121,1877.32446,4
251.9284,1590.04932,4
252.829071,1486.636,4
253.292938,1555.02917,4
253.5448,525.9926,1
255.43544,1386.02588,4
255.582321,1621.14832,4
255.617874,1497.87366,4
255.811584,1774.31091,4
255.91188,1538.04944,4
257.041931,1380.59631,4
257.228668,1529.70129,4
258.743927,1501.02612,4
259.106873,1549.99756,4
259.65976,1571.43579,4
260.251526,1687.22607,4
260.3129,1567.83679,4
261.203827,560.102051,1
261.391022,1605.3363,4
261.741943,1390.30859,4
261.845978,1247.27612,4
261.9527,1478.50476,4
262.767273,1518.25793,4
263.404,1586.0022,4
263.502,1577.69727,4
263.7247,1488.30164,4
263.970154,1455.9751,4
264.296936,1144.644,4
264.6845,1552.50964,4
265.069336,1499.19446,4
266.2102,1488.90588,4
266.350281,1539.48267,4
266.7477,1141.75024,4
267.397644,1503.96631,4
267.6435,1526.53308,4
267.6478,1484.25793,4
267.6859,1393.05981,4
268.0699,1459.41479,4
268.747437,1485.37122,4
268.9346,1726.08887,4
269.075684,469.981384,1
269.333,1570.38025,4
269.521942,1501.63159,4
269.551636,1499.43909,4
270.172363,1480.41882,4
270.536377,486.2365,1
270.563446,1502.724,4
270.567841,1705.28015,4
270.615417,434.825958,1
270.905731,1496.5658,4
270.908325,1723.91284,4
271.271973,533.7448,1
271.2958,1498.625,4
271.501129,1594.77539,4
271.704681,1599.49524,4
272.009857,1536.788,4
272.2172,1607.65576,4
272.399353,1594.74622,4
272.413269,1720.67871,4
272.481262,1512.33447,4
272.577942,1556.86255,4
272.684479,1633.33521,4
273.018127,1607.9762,4
273.100952,1442.6499,4
273.404633,1411.50391,4
273.578461,428.932526,1
274.1997,1532.59888,4
274.7451,424.441437,1
274.827332,1525.736,4
274.926422,1423.8479,4
275.540771,1511.90161,4
275.95343,1506.33765,4
276.183075,1366.43933,4
276.49942,1444.2334,4
276.503632,1868.80383,4
277.304138,1629.69983,4
277.782257,1516.734,4
277.874237,1519.25757,4
278.274872,1466.84668,4
278.287567,1582.79187,4
278.303223,1446.92065,4
278.567932,1526.99866,4
278.742554,1577.145,4
278.994171,1444.76978,4
279.0259,1600.70874,4
279.0687,480.756378,1
279.1914,1612.30884,4
279.3501,1567.33069,4
279.6156,492.704468,1
279.704865,1514.71338,4
280.6373,1471.47949,4
280.6653,1674.5874,4
281.001221,1511.24133,4
281.028137,1544.50647,4
281.091217,1549.1377,4
281.220581,1504.29626,4
281.274933,1541.03467,4
281.692963,1731.26965,4
281.6931,1540.76038,4
281.796021,1703.86938,4
281.841156,420.136566,1
281.9266,1434.494,4
281.9998,1435.52869,4
282.275055,1496.99292,4
282.2887,1527.09216,4
282.595764,458.544922,1
282.606537,1796.37073,4
282.685944,1673.62292,4
282.884369,1591.36414,4
282.920471,1666.68359,4
283.1406,1632.47913,4
283.172852,1638.80493,4
283.296448,465.403748,1
283.4707,1795.79907,4
283.496124,1509.14465,4
283.862152,1427.41943,4
284.019775,1295.76233,4
284.0402,1358.00916,4
284.108246,1619.57678,4
284.262024,1904.72656,4
284.284546,1573.36621,4
284.2852,1534.72815,4
284.543823,1450.2583,4
284.606476,1549.47449,4
284.6389,1493.97363,4
284.671844,1578.86792,4
284.6954,1703.651,4
284.728546,487.225952,1
284.756317,1454.13428,4
284.805359,1673.27625,4
285.050934,1174.87537,4
285.1423,602.845764,1
285.204681,1504.28467,4
285.216248,437.9987,1
285.239777,1567.39709,4
285.492065,1580.39648,4
285.503723,1472.00574,4
285.6485,1499.88745,4
285.6623,1480.68481,4
285.8023,1471.04651,4
285.808746,1409.84631,4
285.898254,1808.56592,4
286.060028,1656.34363,4
286.1509,1580.39551,4
286.269653,1530.449,4
286.310333,1568.83142,4
286.457947,1620.68018,4
286.510925,1834.91162,4
286.52536,1252.16931,4
286.5272,1479.67,4
286.5992,1634.44531,4
286.66156,1683.94934,4
286.675476,1536.228,4
286.713562,1445.22412,4
286.8928,1501.79211,4
287.133118,1253.72766,4
287.194336,1635.72876,4
287.3176,1775.6106,4
287.328064,1616.51611,4
287.356018,1473.86011,4
287.427124,1450.04834,4
287.471863,1402.84863,4
287.598145,470.915222,1
287.819275,421.8241,1
287.834076,1420.14832,4
287.919678,1593.58789,4
287.979431,1372.83533,4
288.003082,1632.35632,4
288.232269,431.5543,1
288.235565,1527.83557,4
288.3271,1386.40625,4
288.391052,1519.30811,4
288.4486,1526.25427,4
288.472534,511.10675,1
288.632568,1480.87732,4
288.7104,1638.35522,4
288.907928,1488.95557,4
289.230774,457.401062,1
289.236847,1530.88635,4
289.257263,1453.3114,4
289.343536,1475.21277,4
289.456757,1542.365,4
289.610657,480.597748,1
289.651672,1470.404,4
289.659576,1547.43433,4
289.7421,1385.31348,4
289.768158,1494.831,4
289.788025,1578.09412,4
290.0003,1538.15686,4
290.004425,1598.13354,4
290.3243,1673.80286,4
290.4212,1484.35669,4
290.6869,467.12442,1
290.7729,1210.00183,4
290.8397,1733.179,4
290.927856,413.2865,1
290.954651,1596.29358,4
291.2275,467.298553,1
291.433929,1582.77112,4
291.435516,475.3957,1
291.51828,1567.67554,4
291.528778,1598.87976,4
291.559937,1571.80212,4
291.592224,1694.92175,4
291.747253,523.94635,1
292.017578,442.085327,1
292.060944,460.948883,1
292.163483,1594.51111,4
292.168579,1811.57324,4
292.17218,1836.73169,4
292.233337,1610.95386,4
292.241272,1651.79956,4
292.364716,1557.423,4
292.525574,1498.463,4
292.762329,1563.60071,4
292.806458,1721.69531,4
292.961365,1535.585,4
293.053284,1612.21021,4
293.085815,1686.26025,4
293.0884,519.5341,1
293.162933,1571.55774,4
293.213318,1630.36829,4
