Ch1 Amplitude,Ch2 Amplitude,Cluster
240.601624,1605.04,1
253.635025,1591.56958,1
256.101349,1473.46448,1
262.477142,1602.08435,1
263.907928,1515.74048,1
266.861053,1514.26672,1
268.22406,431.6452,1
268.8285,1581.64465,1
269.5969,1529.48975,1
269.634552,1522.535,1
270.36438,1500.69958,1
270.5436,1426.70313,1
270.998962,1643.0769,1
271.302917,1494.5625,1
272.894318,1481.57715,1
273.4785,1498.78381,1
273.778839,1493.31775,1
276.125275,1443.99158,1
276.411652,1541.92993,1
277.062042,421.427063,1
277.311,1579.626,1
277.3404,1551.62854,1
277.46582,1612.98389,1
277.687439,1512.78711,1
277.819183,1500.70007,1
278.832733,1611.457,1
279.019073,1469.00916,1
279.0279,501.0358,1
279.175934,472.862976,1
279.3064,1664.428,1
279.381866,1553.57471,1
279.61615,1629.618,1
279.67337,1512.56213,1
280.558472,1479.002,1
282.0212,1511.74878,1
282.6127,344.074066,1
282.684479,1567.68494,1
282.86554,1546.07275,1
283.128754,1575.21375,1
283.172882,1677.94958,1
283.305267,1552.359,1
283.4156,1432.06409,1
283.473358,1586.15515,1
283.644867,1480.39575,1
283.765472,1449.43433,1
283.8221,1534.61279,1
283.885437,1498.52515,1
284.2921,1618.24915,1
284.310333,1516.183,1
284.382935,1471.35767,1
285.220123,1530.09033,1
285.367767,1500.83215,1
285.371246,1571.16125,1
285.48587,1528.50073,1
285.756622,1516.77393,1
285.775726,474.7271,1
286.0667,1482.5686,1
286.244019,515.887634,1
286.495422,1513.29028,1
286.769623,478.5565,1
286.9514,1520.80652,1
286.969269,432.458466,1
287.211945,1492.82178,1
287.2243,1660.25562,1
287.497284,1542.63806,1
287.788269,1432.37744,1
287.837555,1612.38464,1
287.910248,1534.10791,1
288.0258,1420.99524,1
288.3687,508.101837,1
288.700836,487.232422,1
288.8503,1550.8092,1
289.0652,502.635071,1
289.22934,1563.07983,1
289.2404,517.008545,1
289.282166,1485.71753,1
289.2866,1621.19885,1
289.293182,1513.18872,1
289.6195,1483.55969,1
289.660736,1472.46924,1
289.9425,1408.95654,1
290.015961,1570.69519,1
290.200043,1510.85986,1
290.3502,1580.69775,1
290.4073,1483.845,1
290.4396,434.602966,1
290.465759,438.081,1
290.483978,1565.466,1
290.696716,1523.86035,1
290.700134,1478.787,1
290.857666,1615.36316,1
290.901031,1507.49744,1
291.012177,1588.27942,1
291.141968,1558.25647,1
291.177917,1605.3584,1
291.236572,398.688873,1
291.3119,1502.83008,1
291.5408,444.212128,1
291.6798,1389.09753,1
291.728119,1702.023,1
291.761749,1505.59448,1
291.8488,1356.89355,1
292.212036,1719.19312,1
292.255768,1577.366,1
292.4653,1499.65784,1
292.548218,1492.31409,1
292.55545,1649.50146,1
292.6447,1579.376,1
292.654816,1562.46216,1
292.919739,462.3236,1
292.944855,1510.91541,1
293.067535,1471.13379,1
293.195465,462.252228,1
293.3533,1539.66675,1
293.3952,1668.43494,1
293.641876,1554.0304,1
294.0871,1363.43811,1
294.215057,1503.62915,1
294.24295,1545.60217,1
294.3717,1562.55615,1
294.4876,1493.32092,1
294.49295,1417.2627,1
294.549622,452.471863,1
294.567841,1571.11951,1
294.6401,1650.6897,1
294.6869,1316.9668,1
294.721741,1569.59045,1
294.895569,1540.82129,1
295.035553,1483.26282,1
295.1914,1468.62549,1
295.301056,490.418335,1
295.342133,1508.60718,1
295.5039,1633.18616,1
295.59375,1558.05884,1
295.826324,1525.84314,1
296.0733,1502.31372,1
296.12207,1661.88086,1
296.170258,1561.7312,1
296.187561,1529.45276,1
296.2032,415.9088,1
296.3786,447.089172,1
296.4221,452.461761,1
296.456055,1271.714,1
296.48114,449.490356,1
296.5669,1526.382,1
296.6573,448.013336,1
296.675476,1513.03992,1
296.7945,1515.47925,1
296.8369,1484.32654,1
296.845184,1678.17273,1
297.0932,1402.371,1
297.158081,1783.352,1
297.164,1527.82776,1
297.220947,1478.3512,1
297.2502,451.738831,1
297.264862,447.1248,1
297.295746,438.816742,1
297.308655,436.425049,1
297.326233,1481.26868,1
297.328949,1552.89966,1
297.412384,1723.71619,1
297.574677,1606.51282,1
297.580261,485.047821,1
297.686066,1460.73438,1
297.805359,1595.09241,1
297.83252,1472.22314,1
297.8511,1507.7439,1
297.9463,1633.87744,1
297.959869,1499.0376,1
298.047272,1535.98755,1
298.084747,1329.71741,1
298.118042,396.8446,1
298.184235,1486.09839,1
298.2108,429.0348,1
298.292938,425.597717,1
298.377747,1485.44421,1
298.4139,1614.00757,1
298.447968,512.376953,1
298.460876,1676,1
298.583649,1545.09912,1
298.762848,1445.26965,1
298.7836,478.056824,1
298.796967,419.9876,1
298.7972,1469.47937,1
298.974731,481.4315,1
299.0442,1599.06445,1
299.134827,1577.57007,1
299.371521,1471.458,1
299.4679,476.67337,1
299.500854,460.4032,1
299.681915,1477.70642,1
299.779449,393.654144,1
299.8146,1261.2677,1
299.852661,1476.68518,1
299.926117,1523.486,1
299.963379,1605.00818,1
300.092316,1510.76074,1
300.094635,483.7576,1
300.177826,431.004517,1
300.208252,460.678619,1
300.2216,1442.18726,1
300.375916,1513.32983,1
300.487061,490.6505,1
300.490784,443.224,1
300.612122,534.281555,1
300.7266,1605.89124,1
300.7437,1490.9519,1
300.802734,1472.47559,1
300.82486,1555.06421,1
300.831543,468.953827,1
300.9695,1621.8064,1
300.973633,1584.5387,1
300.9956,468.848938,1
301.040924,497.601685,1
301.086182,507.039429,1
301.1981,498.511536,1
301.202118,1536.53821,1
301.36496,449.0086,1
301.519562,462.306641,1
301.598083,522.1544,1
301.6092,400.2365,1
301.649628,1483.25879,1
301.661682,1524.83716,1
301.717957,1455.62317,1
301.879242,452.981323,1
301.9221,1604.48669,1
301.9475,1481.12219,1
301.953674,1420.25842,1
301.954224,1476.9762,1
301.9774,1492.58093,1
301.989563,1690.11267,1
302.032043,489.5807,1
302.06543,1789.14392,1
302.156036,559.512,1
302.169464,1466.74268,1
302.1766,481.718353,1
302.249176,1524.70679,1
302.358276,1547.34729,1
302.3883,1580.62134,1
302.420532,463.4985,1
302.433777,1604.02588,1
302.5073,499.4824,1
302.61972,449.611847,1
302.631775,1641.59644,1
302.6412,1497.11841,1
302.709961,1564.9823,1
302.723755,488.4642,1
302.759338,468.819977,1
302.82782,419.389435,1
302.878021,1493.95544,1
303.017578,1444.1886,1
303.04245,1391.5614,1
303.0675,432.146729,1
303.0924,1445.39148,1
303.1296,1519.16711,1
303.136261,1538.48694,1
303.141632,1326.57,1
303.25708,1524.91223,1
303.3625,1485.113,1
303.407928,1684.1084,1
303.45108,522.903137,1
303.4664,1436.41858,1
303.513336,1559.64978,1
303.52713,1424.55591,1
303.6008,1462.43494,1
303.634155,497.2443,1
303.65387,445.128021,1
303.6541,503.715668,1
303.667023,416.468079,1
303.7118,457.023621,1
303.713318,1470.42358,1
303.744965,465.732,1
303.7733,1625.31958,1
303.8176,419.005157,1
303.829681,1550.39,1
303.885284,547.135254,1
303.8906,1449.94006,1
303.91037,462.1722,1
303.916138,1485.94006,1
303.9569,1496.40173,1
304.033722,517.6734,1
304.0507,425.139648,1
304.1201,1566.3324,1
304.2426,497.835358,1
304.272369,1672.88684,1
304.274933,444.148865,1
304.32666,439.512756,1
304.3722,1483.02075,1
304.4196,1467.17273,1
304.525116,1687.08545,1
304.569275,451.780182,1
304.617065,558.528137,1
304.703827,435.184174,1
304.7211,423.787781,1
304.7785,1500.41565,1
304.793335,1491.48608,1
304.845337,490.876129,1
304.861664,1434.02759,1
304.8892,1590.61169,1
304.97406,1506.8186,1
304.986725,1480.98169,1
305.061829,1538.90747,1
305.191833,1498.81348,1
305.197327,519.8784,1
305.26062,1535.12122,1
305.2856,1437.188,1
305.3039,1366.08618,1
305.324615,552.513,1
305.324829,1513.95569,1
305.396973,504.415619,1
305.412537,427.072632,1
305.4508,455.696625,1
305.5312,1690.23389,1
305.5332,1499.29529,1
305.5634,1610.35486,1
305.6121,462.6836,1
305.64328,1440.88623,1
305.6495,470.664185,1
305.649719,1570.91418,1
305.683075,1490.925,1
305.699829,423.188263,1
305.747223,1518.60767,1
305.791382,426.01355,1
305.849,422.87854,1
305.871979,1475.46716,1
305.899841,1447.6781,1
305.906952,1504.37573,1
305.9234,517.3467,1
305.9271,482.932159,1
306.04425,1623.77075,1
306.082916,472.544434,1
306.092377,1546.11609,1
306.129761,520.599854,1
306.1747,1484.48633,1
306.1959,1469.77026,1
306.202484,479.324554,1
306.204254,503.261139,1
306.227234,1451.96167,1
306.2527,1490.25757,1
306.2754,490.486664,1
306.340454,1366.69958,1
306.342224,1444.66211,1
306.3782,1430.413,1
306.3931,1423.27356,1
306.451141,407.920074,1
306.452179,1568.464,1
306.474457,1565.47668,1
306.506134,1503.62354,1
306.595184,1543.76306,1
306.6066,1531.86121,1
306.630249,1456.84814,1
306.6509,1542.87537,1
306.6565,1623.727,1
306.6667,1434.9646,1
306.6855,1512.08887,1
306.74585,1493.32727,1
306.760071,1529.73669,1
306.795868,1630.63831,1
306.816437,1377.77356,1
306.903625,468.1565,1
306.910919,479.300537,1
307.002563,476.82193,1
307.0095,1463.26416,1
307.070831,1564.43579,1
307.090363,498.392944,1
307.243256,1533.45288,1
307.298035,1524.75317,1
307.3128,1401.32788,1
307.330658,1547.13269,1
307.411774,1605.71716,1
307.4582,1469.5575,1
307.48233,497.608337,1
307.499725,1493.8894,1
307.50473,1481.737,1
307.537079,1573.24731,1
307.572937,1465.08362,1
307.615753,1541.68982,1
307.65506,1517.99841,1
307.6996,416.969574,1
307.7079,464.185364,1
307.716675,496.8651,1
307.7419,470.690247,1
307.793854,1562.53223,1
307.827576,1470.17517,1
307.8289,1724.04651,1
307.872559,1415.16614,1
307.891144,485.31134,1
307.893372,1399.98767,1
307.9036,477.19,1
307.966949,446.4446,1
307.98526,1477.37463,1
308.050171,1587.19153,1
308.0751,1492.11414,1
308.097137,1435.33838,1
308.100861,1455.85571,1
308.136566,1490.49487,1
308.14325,1508.07434,1
308.230957,462.876862,1
308.316467,532.9757,1
308.338226,1539.5332,1
308.397583,472.522369,1
308.435181,496.3014,1
308.4502,452.13092,1
308.5705,1440.2699,1
308.640076,484.5861,1
308.766083,433.179657,1
308.776276,1444.60388,1
308.776917,1391.74255,1
308.7827,404.7306,1
308.798,474.959045,1
308.828644,1452.04529,1
308.838348,421.1148,1
308.8444,1522.98743,1
308.844879,1491.33008,1
308.8795,1532.73071,1
308.945129,448.516876,1
308.9772,436.267456,1
308.986084,1481.90649,1
309.004578,1458.22107,1
309.0175,469.757751,1
309.0222,443.893982,1
309.026978,412.566742,1
309.041016,391.626923,1
309.067169,498.80896,1
309.0706,1423.98743,1
309.0967,485.734,1
309.107269,493.071167,1
309.113617,1449.76038,1
309.128052,429.1716,1
309.131317,1466.75549,1
309.1843,1522.6759,1
309.1872,1582.66675,1
309.2563,1672.07849,1
309.287628,1546.15442,1
309.31012,488.434631,1
309.426819,433.552216,1
309.524,1461.07117,1
309.529816,1533.26184,1
309.5364,1441.89453,1
309.5672,473.179,1
309.728638,1484.19617,1
309.733673,1527.73889,1
309.7438,1512.127,1
309.832825,1325.50269,1
309.8353,1757.27588,1
309.8636,1525.048,1
309.8703,1444.35767,1
309.905823,1619.16663,1
309.907928,1542.02771,1
309.942474,1574.95447,1
309.9564,536.729431,1
310.0021,1477.76013,1
310.005524,1548.70947,1
310.013519,1421.728,1
